127.0.0.1 - - [02/Feb/2020:23:20:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/datatable.jsp HTTP/1.1" 200 33160
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/datatables.min.css HTTP/1.1" 200 21914
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/app.min.css HTTP/1.1" 200 230944
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/style.css HTTP/1.1" 200 461628
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/components.css HTTP/1.1" 200 159070
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/css/custom.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/app.min.js HTTP/1.1" 200 349833
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/datatables.min.js HTTP/1.1" 200 2277146
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/dataTables.buttons.min.js HTTP/1.1" 200 23214
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/buttons.flash.min.js HTTP/1.1" 200 29939
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/jszip.min.js HTTP/1.1" 200 123883
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/pdfmake.min.js HTTP/1.1" 200 1354463
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/vfs_fonts.js HTTP/1.1" 200 870289
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/buttons.print.min.js HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/datatables.js HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/scripts.js HTTP/1.1" 200 20335
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/js/custom.js HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:47 +0530] "GET /admintemp/admin/adminResources/image/user.png HTTP/1.1" 200 66205
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:48 +0530] "GET /admintemp/admin/adminResources/image/logo.jpg HTTP/1.1" 200 81381
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:48 +0530] "GET /admintemp/admin/adminResources/img/loading.gif HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:49 +0530] "GET /admintemp/admin/adminResources/fonts/nunito-v9-latin-600.woff2 HTTP/1.1" 200 19708
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:49 +0530] "GET /admintemp/admin/adminResources/fonts/nunito-v9-latin-700.woff2 HTTP/1.1" 200 19748
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:49 +0530] "GET /admintemp/admin/adminResources/fonts/nunito-v9-latin-regular.woff2 HTTP/1.1" 200 19600
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:49 +0530] "GET /admintemp/admin/adminResources/fonts/fa-solid-900.woff2 HTTP/1.1" 200 74276
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:20:49 +0530] "GET /admintemp/admin/adminResources/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:24:00 +0530] "GET /admintemp/admin/datatable.jsp HTTP/1.1" 200 26864
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:24:00 +0530] "GET /admintemp/admin/assets/img/users/user-5.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:24:00 +0530] "GET /admintemp/admin/assets/img/users/user-1.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:24:00 +0530] "GET /admintemp/admin/assets/img/users/user-3.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [02/Feb/2020:23:24:00 +0530] "GET /admintemp/admin/assets/img/users/user-2.png HTTP/1.1" 404 1080
